         22662402 function calls (22652600 primitive calls) in 13.634 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       12    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
       14    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
      373    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       15    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     1526    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2684    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
      409    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      761    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
     1606    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
     9907    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      274    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1159    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
     1420    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       29    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
     3405    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
       77    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      684    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       93    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
11413/11409    0.005    0.000    0.007    0.000 {method 'join' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       93    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
     1207    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    31638    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     1605    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       20    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
     1505    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     3837    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      918    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
     1052    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
       30    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       38    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      359    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
